73288 1566967142  0.002100049989745693 8808.380 -1 308842 4.21
74370 1566972687   0.00205176040322516 8605.836 -2 314387 4.22
74444 1566973047  0.002049805375616552 8597.636 -1 314747 4.22
74453 1566973092   0.00205092207779202 8602.319 -1 314792 4.22
74471 1566973189  0.002047035301902333 8586.017 -1 314889 4.22
74537 1566973505  0.002063768965197553 8656.204 -1 315205 4.22
74897 1566975272  0.002063103678586108 8653.413 -2 316972 4.23
75077 1566976191  0.002067886634059259 8673.475 -1 317891 4.23
75098 1566976347  0.002051661741134041 8605.422 -1 318047 4.23
75450 1566978312  0.001983666225629978 8320.224 -1 320012 4.24
75594 1566979005  0.001964410581505099 8239.458 -1 320705 4.24
75651 1566979281  0.001967339315493802 8251.743 -1 320981 4.24
75898 1566980588  0.001953527420388727 8193.810 -1 322288 4.24
76033 1566981315  0.001940260982347903 8138.166 -2 323015 4.24
76080 1566981498  0.001954750603233024 8198.941 -2 323198 4.24
76242 1566982413  0.001919054354670645 8049.218 -1 324113 4.25
76441 1566983342  0.001928087953408851 8087.108 -1 325042 4.25
76825 1566985254  0.001942793671784286 8148.789 -1 326954 4.25
76956 1566985918  0.001937001791375671 8124.496 -1 327618 4.25
77141 1566986839  0.001932016828047878 8103.587 -2 328539 4.25
77335 1566987885  0.001924811604309839 8073.366 -2 329585 4.26
77461 1566988415  0.001938923682117701 8132.557 -1 330115 4.26
77587 1566988995  0.001942484093771815 8147.491 -2 330695 4.26
77806 1566990238  0.001926593367826905 8080.839 -2 331938 4.26
78123 1566991863  0.001891811094976278 7934.950 -2 333563 4.26
78216 1566992316  0.001895410916178616 7950.049 -1 334016 4.27
78337 1566992989  0.001885832421710977 7909.873 -2 334689 4.27
78393 1566993328  0.001866867652742733 7830.328 -1 335028 4.27
78443 1566993571  0.001863171907524127 7814.826 -1 335271 4.27
78714 1566994916  0.001855407172055402 7782.258 -2 336616 4.27
78844 1566995552  0.001855030715357135 7780.679 -1 337252 4.27
78970 1566996199  0.001862521235612531 7812.097 -1 337899 4.27
79204 1566997463  0.001839898327895009 7717.208 -1 339163 4.28
79276 1566997861  0.001829405961024483 7673.199 -1 339561 4.28
79332 1566998179  0.001823840623463783 7649.856 -1 339879 4.28
79600 1566999705  0.001748822216870927 7335.202 -1 341405 4.28
79711 1567000314  0.001735178527854785 7277.975 -1 342014 4.29
79766 1567000600   0.00171824450287609 7206.948 -1 342300 4.29
79979 1567001619  0.001721908211138764 7222.314 -1 343319 4.29
80025 1567001837  0.001718083058167395 7206.270 -1 343537 4.29
80100 1567002178  0.001727567222623378 7246.050 -1 343878 4.29
80162 1567002493  0.001725506159005123 7237.406 -1 344193 4.29
80287 1567003158  0.001728418700627912 7249.622 -1 344858 4.29
80309 1567003270  0.001730966473845779 7260.308 -1 344970 4.29
80420 1567003837  0.001732735623489756 7267.729 -1 345537 4.29
80470 1567004146  0.001715228200858967 7194.296 -1 345846 4.29
80593 1567004728  0.001720010842616606 7214.356 -1 346428 4.29
80635 1567004943  0.001712795269334475 7184.091 -1 346643 4.29
80842 1567005935  0.001716504805951535 7199.651 -4 347635 4.30
80942 1567006483  0.001713873169776457 7188.613 -1 348183 4.30
80978 1567006650  0.001717737207359543 7204.820 -1 348350 4.30
81038 1567006969  0.001718221437488674 7206.851 -2 348669 4.30
81054 1567007021  0.001723832985980176 7230.388 -2 348721 4.30
81194 1567007721  0.001715239693329224 7194.344 -1 349421 4.30
81215 1567007826  0.001713368451787352 7186.496 -1 349526 4.30
81270 1567008108   0.00170707308351449 7160.091 -1 349808 4.30
81306 1567008238  0.001728488722451791 7249.916 -1 349938 4.30
81419 1567008910   0.00170940986898776 7169.892 -1 350610 4.30
81464 1567009094  0.001713655186898371 7187.698 -1 350794 4.30
81533 1567009424  0.001716665954172367 7200.327 -2 351124 4.30
81763 1567010613  0.001710129288749048 7172.909 -2 352313 4.30
82004 1567011825  0.001700371920519684 7131.983 -2 353525 4.31
82031 1567011957  0.001704515662141197 7149.364 -1 353657 4.31
82047 1567012042  0.001702101687167553 7139.239 -1 353742 4.31
82409 1567013933  0.001695248554712333 7110.494 -13 355633 4.31
82448 1567014097  0.001697868305421986 7121.482 -1 355797 4.31
82551 1567014606   0.00169349907219973 7103.156 -2 356306 4.31
82616 1567015042  0.001669968124975537 7004.459 -1 356742 4.31
82797 1567016012  0.001634880279913657 6857.287 -1 357712 4.32
82837 1567016235  0.001645388303103147 6901.362 -1 357935 4.32
82968 1567016849  0.001632805174987084 6848.584 -1 358549 4.32
83137 1567017654  0.001638395971468435 6872.033 -1 359354 4.32
83208 1567017975  0.001648938761280266 6916.254 -1 359675 4.32
83273 1567018315  0.001650012206087091 6920.756 -1 360015 4.32
83283 1567018363  0.001654127587844561 6938.018 -1 360063 4.32
83717 1567020557  0.001643254809482238 6892.413 -1 362257 4.32
83998 1567021965  0.001643972397218048 6895.423 -2 363665 4.32
84265 1567023256  0.001658242066550933 6955.275 -1 364956 4.33
84412 1567024058  0.001650937977634608 6924.639 -1 365758 4.33
84509 1567024579  0.001645293128546914 6900.963 -2 366279 4.33
84579 1567024901  0.001647124525479346 6908.644 -1 366601 4.33
84689 1567025413  0.001639602734527614 6877.095 -1 367113 4.33
84707 1567025501  0.001643423597290878 6893.121 -1 367201 4.33
84885 1567026330  0.001659940952859551 6962.401 -1 368030 4.33
84960 1567026701  0.001658403203811794 6955.951 -1 368401 4.33
85095 1567027302   0.00168044804152608 7048.415 -2 369002 4.33
85102 1567027328  0.001688439249886226 7081.933 -1 369028 4.33
85255 1567028110  0.001687938268979705 7079.832 -1 369810 4.33
85307 1567028359  0.001686226048308479 7072.650 -1 370059 4.33
85356 1567028548  0.001694732305996531 7108.329 -1 370248 4.33
85442 1567029070  0.001697474263974538 7119.830 -1 370770 4.33
85447 1567029086  0.001698578041230957 7124.459 -1 370786 4.33
85672 1567030221  0.001685959521535827 7071.532 -1 371921 4.34
85750 1567030643  0.001681021851975887 7050.822 -1 372343 4.34
85836 1567031103  0.001669173249460445 7001.125 -2 372803 4.34
85906 1567031386  0.001682259083351952 7056.011 -2 373086 4.34
85960 1567031608  0.001695944866044811 7113.415 -1 373308 4.34
86237 1567032970  0.001704368134154461 7148.745 -2 374670 4.34
86298 1567033335  0.001700371920519684 7131.983 -1 375035 4.34
86323 1567033429  0.001709729536362361 7171.233 -1 375129 4.34
86335 1567033459  0.001714642289015405 7191.839 -1 375159 4.34
86489 1567034241  0.001703800956738769 7146.366 -1 375941 4.34
86533 1567034447  0.001702690383310719 7141.708 -1 376147 4.34
86568 1567034660  0.001704458917585491 7149.126 -1 376360 4.34
86695 1567035329  0.001688261089274762 7081.186 -1 377029 4.34
86766 1567035727  0.001687159555993462 7076.566 -1 377427 4.34
86777 1567035789  0.001686748240747452 7074.841 -1 377489 4.35
86802 1567035955  0.001687304119787238 7077.172 -1 377655 4.35
86848 1567036195  0.001670960057897038 7008.619 -1 377895 4.35
86909 1567036484  0.001661891428469414 6970.582 -1 378184 4.35
87074 1567037333  0.001647654590654567 6910.868 -1 379033 4.35
87204 1567038000  0.001642822448933753 6890.600 -1 379700 4.35
87226 1567038087  0.001643254809482238 6892.413 -2 379787 4.35
87270 1567038259  0.001654491066581356 6939.542 -1 379959 4.35
87357 1567038721  0.001656139413808273 6946.456 -1 380421 4.35
87648 1567040366  0.001619767115378531 6793.897 -1 382066 4.35
87662 1567040405  0.001625227559137601 6816.800 -11 382105 4.35
87701 1567040628  0.001621696179136814 6801.988 -2 382328 4.35
87860 1567041444  0.001601086339585588 6715.543 -1 383144 4.36
87947 1567041876  0.001589652778209005 6667.587 -2 383576 4.36
87964 1567041975  0.001587582519891596 6658.903 -1 383675 4.36
88064 1567042410  0.001597708836525679 6701.377 -2 384110 4.36
88116 1567042653  0.001611609391230445 6759.681 -1 384353 4.36
88289 1567043455  0.001622611009520308 6805.826 -1 385155 4.36
88542 1567044734  0.001632826004107641 6848.671 -1 386434 4.36
88776 1567045999  0.001609613144641038 6751.308 -1 387699 4.36
88783 1567046027  0.001609461348761765 6750.671 -1 387727 4.36
89208 1567048245  0.001591055729752575 6673.471 -1 389945 4.37
89360 1567049124  0.001558462053000694 6536.761 -1 390824 4.37
89666 1567050624  0.001541346614103537 6464.973 -1 392324 4.37
89795 1567051195  0.001551594916933856 6507.958 -1 392895 4.37
89884 1567051606  0.001567614151301568 6575.149 -2 393306 4.37
89960 1567052050  0.001560885168011121 6546.925 -1 393750 4.37
90050 1567052614  0.001545011791456437 6480.346 -1 394314 4.37
90279 1567053702  0.001548057604041943 6493.121 -1 395402 4.37
90399 1567054243  0.001544200976902985 6476.945 -2 395943 4.37
90423 1567054378  0.001539900228281662 6458.906 -1 396078 4.38
90585 1567055123  0.001574101295886368 6602.358 -1 396823 4.38
90618 1567055296   0.00157289234585727 6597.287 -2 396996 4.38
90695 1567055689  0.001573559456560491 6600.085 -1 397389 4.38
90737 1567055873   0.00157126079491051 6590.444 -1 397573 4.38
90819 1567056344  0.001566070166825723 6568.673 -1 398044 4.38
90830 1567056399   0.00157469193849996 6604.835 -1 398099 4.38
90836 1567056422  0.001572003744312146 6593.560 -1 398122 4.38
91092 1567057613  0.001583487522113493 6641.727 -1 399313 4.38
91192 1567058204    0.0015732500015364 6598.787 -1 399904 4.38
